Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
,,Tropical Present,Miscellaneous Promos,©2001,https://www.tcgplayer.com/product/617346/pokemon-japan-pokemon-card-fan-club-tropical-present-summer-2001-jumbo?page=1&Language=all,Jumbo
,,Champions Festival,XY Promos,176,https://www.tcgplayer.com/product/199330/pokemon-xy-promos-champions-festival-2016?page=1&Language=English,
,,Pikachu,XY-P Promos,279,https://www.tcgplayer.com/product/602183/pokemon-japan-xy-p-xy-promos-pikachu-279-xy-p?Language=all&page=1,
,,M Sachiko-EX,XY-P Promos,298,https://www.tcgcollector.com/cards/31820/m-sachiko-ex-xy-promos-298-xy-p,
,,Green's Exploration,Tag All Stars,196,https://www.tcgplayer.com/product/572850/Pokemon%20Japan-SM12a%20TAG%20TEAM%20GX%20Tag%20All%20Stars-Greens%20Exploration%20196%20173?xid=ac70fe1ae-3fbe-40cd-86ff-296ac32eae8a&Language=all,
,,Team Rocket's Meowth,Wizards Promos,18,https://www.tcgplayer.com/product/89851/pokemon-wotc-promo-team-rockets-meowth?page=1&Language=English,
,,Ditto,Delta Species,40,https://www.tcgplayer.com/product/84837/pokemon-delta-species-ditto-040-113-squirtle,Ditto's disguise
,,Ditto,Delta Species,64,https://www.tcgplayer.com/product/84841/pokemon-delta-species-ditto-64-113-squirtle,
,,Champions Festival,SM Promos,231,https://www.tcgplayer.com/product/198360/pokemon-sm-promos-champions-festival-sm231-world-championships-2019,picture
,,Flower Shop Lady,Undaunted,74,https://www.tcgplayer.com/product/85519/pokemon-undaunted-flower-shop-lady,Squirt Bottle
,,Chansey,Hidden Fates,46,https://www.tcgplayer.com/product/197691/pokemon-hidden-fates-chansey,
,,Hoopa V,Crown Zenith,GG53,https://www.tcgplayer.com/product/477181/pokemon-swsh-crown-zenith-galarian-gallery-hoopa-v,
,,Chikorita,MEP Promos,46,https://www.tcgplayer.com/product/686342/pokemon-me-mega-evolution-promo-chikorita-cosmos-holo,
,,Misty's Cerulean City Gym,Hidden Fates,61,https://www.tcgplayer.com/product/197716/pokemon-hidden-fates-mistys-cerulean-city-gym,mural
8,Wartortle,Togepi,Southern Islands,4,https://www.tcgplayer.com/product/46478/pokemon-southern-islands-togepi,
9,Blastoise,Pokémon Reversal,Expedition,146,https://www.tcgplayer.com/product/88238/pokemon-expedition-pokemon-reversal,
,,Pikachu,151,173,https://www.tcgplayer.com/product/513721/pokemon-sv-scarlet-and-violet-151-pikachu-173-165,
,,Makuhita,Furious Fists,51,https://www.tcgplayer.com/product/92228/pokemon-xy-furious-fists-makuhita,picture
,Mega Blastoise,Blastoise Spirit Link,Evolutions,73,https://www.tcgplayer.com/product/124086/pokemon-xy-evolutions-blastoise-spirit-link,
10,Caterpie,Light Wigglytuff,Neo Destiny,54,https://www.tcgplayer.com/product/86753/pokemon-neo-destiny-light-wigglytuff,
,,Pikachu,XY-P Promos,-,https://www.tcgplayer.com/product/114004/pokemon-xy-promos-pikachu,
,,Pikachu,Celebrations,5,https://www.tcgplayer.com/product/250303/pokemon-celebrations-pikachu,
,,Pikachu,151,173,https://www.tcgplayer.com/product/513721/pokemon-sv-scarlet-and-violet-151-pikachu-173-165,
12,Butterfree,Snubbull,Neo Revelation,55,https://www.tcgplayer.com/product/89411/pokemon-neo-revelation-snubbull,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,https://www.tcgplayer.com/product/617338/pokemon-japan-pokemon-card-design-contest-spiky-eared-pichu-m-shunsuke-takemori,
,,Pikachu,Celebrations,5,https://www.tcgplayer.com/product/250303/pokemon-celebrations-pikachu,
,,Pikachu,151,173,https://www.tcgplayer.com/product/513721/pokemon-sv-scarlet-and-violet-151-pikachu-173-165,
,,Drampa,Temporal Forces,184,https://www.tcgplayer.com/product/542905/pokemon-sv05-temporal-forces-drampa-184-162,
,,Jigglypuff,Southern Islands,8,https://www.tcgplayer.com/product/46482/pokemon-southern-islands-jigglypuff,only partially visible
,,Team Rocket's Meowth,Wizards Promos,18,https://www.tcgplayer.com/product/89851/pokemon-wotc-promo-team-rockets-meowth,silhouette
13,Weedle,Scoop Up,Base Set,78,https://www.tcgplayer.com/product/42423/pokemon-base-set-scoop-up,
